"x"
"NO LE GUSTO EL TRABAJO NA"
"ABANDONO DE TRABAJO NA"
"RETIRO VOLUNTARIO NA"
"ABANDONO DE TRABAJO NA"
"NO QUIERE APOYAR AL SUPERVISOR CON LAS NDICACIONES QUE LE DA, MALA ACTITUD NA"
"ABANDONO DE TRABAJO NA"
"NA NA"
"CAMBIO A BLOGGY
 NA"
"ABANDONO DE TRABAJO. NO REINGRESABLE. SE VA SIN AVISAR. NA"
"NO TIENE QUIEN CUIDE A SU HIJO NA"
"LO DESPIDIERON NUEVAMENTE POR BAJO DESEMPE•O.
 NA"
"ABANDONO DE TRABAJO ERA  NUEVO NA"
"INDISCIPLINADO. NO HAC÷A BIEN SU TRABAJO, LO REGA•ARON Y SE PUSO A ALEGAR Y PELE AR CON EL SUPERVISOR, ES FALTISTA, NO REINGRESABLE"
"FALTISTA, ERA NUEVO NA"
"RECORTE DE PERSONAL NA"
"RECORTE DE PERSONAL NA"
"ABANDONO DE TRABAJO NA"
"PIDIO PERMISO PARA IRSE A DORMIR POR QUE ESTABA DESVELADO Y NO ESTABA HACIENDO E N LA BANDA Y NO SE LO DIERON Y MEJOR SE FUE."
"INDISCIPLINADO, DECIDIERON QUE NO TERMINARA, TAMBIEN COMENTO DE PROBLEMAS QUE TU VO EN CHABELO, Y QUE DEBE PRESTAMOS EN EL BANCO DE SU N‡MINA, NO QUERIA TRABAJAR"
"INDISCIPLINA, RETO A GOLPES AL SUPERVISOR NA"
"RETIRO VOLUNTARIO NA"
"NO QUIERE QUE LE DEPOSITEN EN EL BANCO SANTANDER PORQUE TIENE ADEUDO NA"
"NO REGRES‡ NA"
"retiro voluntario NA"
"NO LE GUSTABA SALIR TARDE Y RENUNCIO NA"
"NO REINGRESABLE FALTISTA ES LA TERCERA VEZ QUE LA ACEPTAN Y SIEMPRE SALE POR LO MISMO"
"abandono de trabajo NA"
"ABANDONO DE TRABAJO NA"
"RETIRO VOLUNTARIO NA"
"FALTISTA NO REINGRESABLE NA"
"ABANDONO DE TRABAJO NA"
"LE OFRECIERON OTRO TRABAJO NA"
"SUELDO NO LE GUSTO NA"
"LE HICIERON VALES DE CARGO Y MEJOR RENUNCIO NA"
"NO PUDO CON EL PUESTO, EL TRABAJO REQUERIA CARACTER MAS FUERTE NA"
"SE PELEO CON COMPA•ERO MARTIN MORENO Y ES DROGADICTO, ES NO REINGRESABLE. NA"
"SE ABURRIO DE TRABAJAR Y SE FUE A GENERAL MOTORS, RENUNCIA VOLUNTARIA. NA"
"ABANDONO DE TRABAJO NA"
"RECORTE DE PERSONAL NA"
"FALTISTA, LLEGADAS TARDE, PROBLEMATICO E INDISCIPLINADO, NO REINGRESABLE NA"
"ABANDONO DE TRABAJO NA"
"SE ENFERMO, NO REINGRESABLE CALZABA ANDREA. NA"
"RETIRO VOLUNTARIO QUERIA COTIZAR MAS PARA ALCANZAR CREDITO DE INFONAVIT NA"
"HORARIO NA"
"NO ESTUVO CONFORME CON EL SUELDO NA"
"LO CAMBIARON DE AREA Y DIJO QUE NO LE GUSTABA NA"
"ABANDONO DE TRABAJO NA"
"abandono de trabajo NA"
"ABANDONO DE TRABAJO. NA"
"queria mas sueldo NA"
"ABANDONO DE TRABAJO, ESTABA EN MAQUILA DE SAN FELIPE NA"
"TENIA ENFERMA A SU MAMA. RENUNCIA VOLUNTARIA. NA"
"RETIRO VOLUNTARIO NA"
"CAMBIO A CANTERA 2 NA"
"PROBLEMAS PERSONALES NA"
"VOLVIO A REINGRESAR Y ESTUVOI DOS SEMANAS DE LAS CUALES TUVO 5 FALTAS, ES MUY FA LTISTA E IRRESPONSABLE, NO REINGRESABLE"
"INDISCIPLINADO, AGRESIVO AMENAZO A UN COMPA•ERO CON UNA NAVAJA Y PIDIO INDEMNIZA CI‡N. NO REINGRESABLE"
"RETIRO VOLUNTARIO, LA ASALTARON Y YA LE DIO MIEDO VENIR NA"
"SIGUIO A SU NOVIO AL CUAL DESPIDIERON POR PELEARSE DENTRO DE LA EMPRESA, ES NO R EINGRESABLE Y NO RECOMENDABLE.
"
"ABANDONO DE TRABAJO NA"
"RETIRO VOLUNTARIO, TUVO A SU BEBE Y YA NO VA A TRABAJAR NA"
"ABANDONO DE TRABAJO NA"
"NA NA"
"ABANDONO DE TRABAJO, DEBE PRESTAMO $280 NA"
"NO REINGRESABLE, NO SABE TRABAJAR, CONFLICTIVA. NA"
"MALO TRABAJANDO LO IBAN A BAJAR DE PUESTO Y SE FUE NA"
"ABANDONO DE TRABAJO NA"
"ABANDONO DE TRABAJO, ES FALTISTA LAS VECES QUE LE HAN DADO OPORTUNIDAD DE REGRES AR SIEMPRE HACE LO MISMO. NO REINGRESABLE. MA. LUISA NO LA QUIERE MAS."
"ABANDONO DE TRABAJO NA"
"INDISCIPLINADO, NO REINGRESABLE ES MUY PROBLEMATICO NA"
"ABANDONO DE TRABAJO NA"
"ABANDONO DE TRABAJO NA"
"SE LE DIO DE BAJA POR FALTISTA. NA"
"ABANDONO DE TRABAJO NA"
"SU HIJA LE IBA A COBRAR EN EL CAJERO DE LA TIENDA Y SE PELEO, EL ALENTO LA PELEA ."
"ABANDONO DE TRABAJO. NA"
"FALTAS ACUMULADAS NA"
"ESTAVUVO NCONFORME CON EL SUELDO NA"
"TIENE BAJA EFICIENCIA. NA"
"ES FALTISTA LE ADVIRTIERON Y VOLVIO  A FALTAR NA"
"ABANDONO DE TRABAJO NA"
"ABANDONO DE TRABAJO NA"
"POR EL SUELDO NA"
"ABANDONO DE TRABAJO NA"
"ABANDONO DE TRABAJO NA"
"ABANDONO DE TRABAJO NA"
"FALTISTA NA"
"ENTRO DE POLICIA NA"
"ES MUY FALTISTA SIEMPRE HACE LOS MISMO, NO REINGRESABLE NA"
"NO LE GUSTO LO QUE LE PUSIERON A HACER NA"
"ABANDONO DE TRABAJO NA"
"ABANDONO DE TRABAJO NA"
"ABANDONO DE TRABAJO NA"
"DIJO QUE NO ESTABA AGUSTO EN EL TRABAJO Y DEJO EL TRABAJO Y SE SALIO DE LA BANDA NA"
"RENUNCIA VOLUNTARIA NA"
"NA NA"
"RETIRO VOLUNTARIO, CORRIERON A SU NOVIO Y TAMBIêN RENUNCIO ELLA NA"
"MUY FALTISTA NA"
"NO TENIA QUIEN CUIDARA A SU BEBE NA"
"ENTRO Y SE ACCIDENTO EL PRIMER D÷A ESTUVO INCAPACITADO Y QUERIA QUE LE PAGARAN S U SUELDO. NO REINGRESABLE SU REPORTE TRAJO UNA MULTA DEL IMSS. Y COBRO DE CAPITA"
"RETIRO VOLUNTARIO PARA CUIDAR A SU HIJO NA"
"TUVO PROBLEMAS CON SUS COMPA•ERA, LA CAMBIARON A PREACABADO Y NO LE GUSTO. NA"
"NA NA"
"NA NA"
"FALTISTA, PEDIA PERMISOS A CADA RATO Y CUANDO LE PIDIERON JUSTIFICANTE NO REGRES O"
"ABANDOBO DE TRABAJO NA"
