"puesto","NUM","antiguedad","depto.group","sexo","municipio","edo.civil.fit","sueldo","edad.fit","estudios","ingreso","rango.edad","meses.antiguedad","grupo.puesto","nivel.critico","cambios.depto","reingresos","cambios.sueldo","sueldo.min","sueldo.max","aumento","dias.para.aumento","dias.salio.cambio","salio.por.cambio","sueldo.max.fit","sueldo.min.fit","puesto.fit"
"PRELIMINAR B",8224,104,"PESPUNTE","masculino","LEON",3,800,22,"Secundaria",2012-03-15,3,3,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,800,800,"B-PRELIMINAR"
"PRELIMINAR B",8267,11,"MONTADO","masculino","LEON",1,800,31,"Primaria",2012-08-13,4,0,"PRELIMINAR A-B",2,0,1,0,800,800,0,0,9,1,800,800,"B-PRELIMINAR"
"PRELIMINAR B",10699,91,"MONTADO","masculino","LEON",3,1000,19,"Secundaria",2015-01-06,2,3,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,1000,1000,"B-PRELIMINAR"
"PRELIMINAR B",10700,233,"MONTADO","femenino","LEON",1,900,37,"Ninguno",2015-01-06,4,7,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"B-PRELIMINAR"
"PRELIMINAR B",10248,5,"MONTADO","masculino","LEON",3,900,25,"Secundaria",2014-05-16,3,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"B-PRELIMINAR"
"PRELIMINAR B",12094,2,"PESPUNTE","femenino","LEON",1,1000,33,"Ninguno",2016-09-12,4,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,1000,1000,"B-PRELIMINAR"
"PRELIMINAR B",10157,1,"MONTADO","masculino","SILAO",3,900,35,"Ninguno",2014-03-11,4,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"B-PRELIMINAR"
"PRELIMINAR B",9894,13,"MONTADO","masculino","LEON",1,950,27,"Primaria",2013-10-10,3,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,950,950,"B-PRELIMINAR"
"PRELIMINAR B",11487,146,"AVIO","masculino","LEON",4,1000,24,"Primaria",2016-01-14,3,4,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,1000,1000,"B-PRELIMINAR"
"PRELIMINAR B",9983,72,"MONTADO","masculino","LEON",1,900,20,"Primaria",2013-11-11,2,2,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"B-PRELIMINAR"
"PRELIMINAR B",10662,2,"PESPUNTE","femenino","LEON",3,900,21,"Secundaria",2014-11-12,3,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"B-PRELIMINAR"
"PRELIMINAR B",9231,8,"MONTADO","masculino","LEON",1,850,26,"Preparatoria",2013-04-02,3,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,850,850,"B-PRELIMINAR"
"PRELIMINAR B",10164,37,"PREPARADO","femenino","LEON",4,1000,20,"Primaria",2015-05-04,2,1,"PRELIMINAR A-B",2,2,3,1,900,1000,100,308,35,0,1000,900,"B-PRELIMINAR"
"PRELIMINAR B",11818,8,"PREPARADO","masculino","LEON",3,950,16,"Primaria",2016-06-14,2,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,950,950,"B-PRELIMINAR"
"PRELIMINAR B",10215,73,"MONTADO","masculino","LEON",3,950,19,"Secundaria",2014-05-06,2,2,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,950,950,"B-PRELIMINAR"
"PRELIMINAR B",8284,46,"PESPUNTE","masculino","LEON",1,800,21,"Secundaria",2012-04-16,3,1,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,800,800,"B-PRELIMINAR"
"PRELIMINAR B",9778,327,"PESPUNTE","femenino","LEON",2,850,30,"Primaria",2013-08-28,3,10,"PRELIMINAR A-B",2,2,4,0,850,850,0,0,4,1,850,850,"B-PRELIMINAR"
"PRELIMINAR B",11257,1,"MONTADO","masculino","LEON",3,1000,21,"Secundaria",2015-09-22,3,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,1000,1000,"B-PRELIMINAR"
"PRELIMINAR B",10037,16,"MONTADO","masculino","LEON",4,900,28,"Ninguno",2014-01-20,3,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"B-PRELIMINAR"
"PRELIMINAR B",8427,183,"MONTADO","femenino","LEON",1,800,51,"Primaria",2012-06-12,6,6,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,800,800,"B-PRELIMINAR"
"PRELIMINAR B",11042,46,"PESPUNTE","femenino","SILAO",3,900,17,"Secundaria",2015-06-15,2,1,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"B-PRELIMINAR"
"PRELIMINAR B",8615,3,"CORTE","femenino","LEON",3,800,23,"Primaria",2012-08-07,3,0,"PRELIMINAR A-B",2,0,1,0,800,800,0,0,2,1,800,800,"B-PRELIMINAR"
"PRELIMINAR B",11044,6,"PESPUNTE","femenino","LEON",3,850,18,"Ninguno",2015-06-10,2,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,850,850,"B-PRELIMINAR"
"PRELIMINAR B",9786,93,"AVIO","femenino","LEON",3,900,19,"Primaria",2013-08-28,2,3,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"B-PRELIMINAR"
"PRELIMINAR B",8758,104,"PREPARADO","femenino","LEON",1,900,44,"Secundaria",2012-08-30,5,3,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"B-PRELIMINAR"
"PRELIMINAR B",11739,13,"MONTADO","masculino","LEON",4,950,18,"Secundaria",2016-05-19,2,0,"PRELIMINAR A-B",2,0,1,0,950,950,0,0,7,1,950,950,"B-PRELIMINAR"
"PRELIMINAR B",9155,51,"MONTADO","masculino","SILAO",1,900,34,"Secundaria",2013-03-04,4,1,"PRELIMINAR A-B",2,0,1,0,900,900,0,0,42,0,900,900,"B-PRELIMINAR"
"PRELIMINAR B",10449,8,"MONTADO","masculino","SILAO",3,950,20,"Secundaria",2014-07-31,2,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,950,950,"B-PRELIMINAR"
"PRELIMINAR B",8303,137,"PESPUNTE","femenino","LEON",3,453.32,24,"Primaria",2013-04-01,3,4,"PRELIMINAR A-B",2,1,3,1,453.32,800,346.68,128,8,1,800,453.32,"B-PRELIMINAR"
"PRELIMINAR B",10320,570,"PESPUNTE","femenino","LEON",3,950,19,"Secundaria",2014-06-30,2,19,"PRELIMINAR A-B",2,1,3,1,850,950,100,560,-6,0,950,850,"B-PRELIMINAR"
"PRELIMINAR B",9876,2,"MONTADO","masculino","LEON",4,900,23,"Primaria",2013-10-02,3,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"B-PRELIMINAR"
"PRELIMINAR B",9075,22,"PESPUNTE","femenino","LEON",3,950,25,"Primaria",2013-10-22,3,0,"PRELIMINAR A-B",2,1,2,0,950,950,0,0,7,1,950,950,"B-PRELIMINAR"
"PRELIMINAR B",9077,28,"MONTADO","femenino","LEON",1,850,25,"Secundaria",2013-02-13,3,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,850,850,"B-PRELIMINAR"
"PRELIMINAR B",11056,3,"MONTADO","femenino","LEON",3,950,49,"Primaria",2015-06-23,5,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,950,950,"B-PRELIMINAR"
"PRELIMINAR B",9211,26,"MONTADO","femenino","LEON",3,850,43,"Ninguno",2013-03-15,5,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,850,850,"B-PRELIMINAR"
"PRELIMINAR B",10792,0,"MONTADO","masculino","LEON",4,1000,21,"Ninguno",2015-03-25,3,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,1000,1000,"B-PRELIMINAR"
"PRELIMINAR B",10790,58,"MONTADO","femenino","LEON",3,950,22,"Preparatoria",2015-02-25,3,1,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,950,950,"B-PRELIMINAR"
"PRELIMINAR B",11102,38,"MONTADO","masculino","LEON",3,950,18,"Secundaria",2015-07-07,2,1,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,950,950,"B-PRELIMINAR"
"PRELIMINAR B",9397,16,"PREPARADO","femenino","LEON",3,910,21,"Primaria",2013-05-20,3,0,"PRELIMINAR A-B",2,0,1,0,910,910,0,0,14,1,910,910,"B-PRELIMINAR"
"PRELIMINAR B",10839,43,"MONTADO","masculino","LEON",4,950,32,"Secundaria",2015-11-11,4,1,"PRELIMINAR A-B",2,0,1,0,950,950,0,0,36,0,950,950,"B-PRELIMINAR"
"PRELIMINAR B",9485,1,"PESPUNTE","masculino","LEON",3,770,21,"Secundaria",2013-05-29,3,0,"PRELIMINAR A-B",2,0,1,0,770,770,0,0,-6,0,770,770,"B-PRELIMINAR"
"PRELIMINAR B",10105,45,"MONTADO","femenino","LEON",3,910,20,"Primaria",2014-02-24,2,1,"PRELIMINAR A-B",2,0,1,0,910,910,0,0,1,1,910,910,"B-PRELIMINAR"
"PRELIMINAR B",11758,6,"PESPUNTE","masculino","LEON",3,950,16,"Primaria",2016-05-26,2,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,950,950,"B-PRELIMINAR"
"PRELIMINAR B",8225,14,"PESPUNTE","masculino","LEON",3,800,20,"Primaria",2012-03-16,2,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,800,800,"B-PRELIMINAR"
"PRELIMINAR B",11242,3,"MONTADO","femenino","LEON",1,950,42,"Primaria",2015-09-15,5,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,950,950,"B-PRELIMINAR"
"PRELIMINAR B",8228,73,"PESPUNTE","femenino","LEON",3,800,23,"Primaria",2012-03-20,3,2,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,800,800,"B-PRELIMINAR"
"PRELIMINAR B",10380,2,"PREPARADO","femenino","LEON",3,950,18,"Primaria",2016-09-12,2,0,"PRELIMINAR A-B",2,3,5,2,850,950,100,783,1,1,950,850,"B-PRELIMINAR"
"PRELIMINAR B",10206,84,"MONTADO","femenino","LEON",3,900,20,"Secundaria",2014-04-28,2,2,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"B-PRELIMINAR"
"PRELIMINAR B",11246,156,"PESPUNTE","femenino","LEON",3,950,25,"Primaria",2015-09-15,3,5,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,950,950,"B-PRELIMINAR"
"PRELIMINAR B",12095,9,"PESPUNTE","masculino","LEON",3,1000,19,"Primaria",2016-09-12,2,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,1000,1000,"B-PRELIMINAR"
"PRELIMINAR B",8099,28,"PESPUNTE","femenino","LEON",3,950,24,"Primaria",2014-11-25,3,0,"PRELIMINAR A-B",2,0,1,0,950,950,0,0,27,0,950,950,"B-PRELIMINAR"
"PRELIMINAR B",11725,37,"PESPUNTE","masculino","LEON",1,1000,24,"Secundaria",2016-05-23,3,1,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,1000,1000,"B-PRELIMINAR"
"PRELIMINAR B",8746,31,"PESPUNTE","femenino","SILAO",3,900,25,"Ninguno",2012-09-04,3,1,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"B-PRELIMINAR"
"PRELIMINAR B",11036,29,"MONTADO","masculino","LEON",3,900,19,"Ninguno",2015-06-15,2,0,"PRELIMINAR A-B",2,0,1,0,900,900,0,0,20,0,900,900,"B-PRELIMINAR"
"PRELIMINAR B",9457,23,"PESPUNTE","femenino","LEON",4,900,22,"Secundaria",2013-05-28,3,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"B-PRELIMINAR"
"PRELIMINAR B",11639,1,"PESPUNTE","femenino","LEON",1,900,36,"Primaria",2016-04-20,4,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"B-PRELIMINAR"
"PRELIMINAR B",12013,15,"PESPUNTE","femenino","LEON",3,1000,19,"Primaria",2016-08-09,2,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,1000,1000,"B-PRELIMINAR"
"PRELIMINAR B",9947,29,"AVIO","femenino","LEON",4,900,24,"Secundaria",2015-01-15,3,0,"PRELIMINAR A-B",2,3,4,0,900,900,0,0,-5,0,900,900,"B-PRELIMINAR"
"PRELIMINAR B",11041,8,"MONTADO","femenino","LEON",3,900,24,"Primaria",2015-11-03,3,0,"PRELIMINAR A-B",2,0,1,0,900,900,0,0,7,1,900,900,"B-PRELIMINAR"
"PRELIMINAR B",10622,16,"MONTADO","masculino","LEON",3,900,19,"Secundaria",2014-10-20,2,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"B-PRELIMINAR"
"PRELIMINAR B",10127,86,"MONTADO","masculino","LEON",3,900,22,"Secundaria",2014-02-24,3,2,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"B-PRELIMINAR"
"PRELIMINAR B",10268,24,"PESPUNTE","femenino","LEON",3,950,28,"Primaria",2014-06-10,3,0,"PRELIMINAR A-B",2,0,1,0,950,950,0,0,9,1,950,950,"B-PRELIMINAR"
"PRELIMINAR B",8250,4,"PESPUNTE","femenino","LEON",3,800,21,"Primaria",2012-03-26,3,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,800,800,"B-PRELIMINAR"
"PRELIMINAR B",11875,50,"PREPARADO","femenino","LEON",3,900,17,"Secundaria",2016-06-28,2,1,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"B-PRELIMINAR"
"PRELIMINAR B",9601,31,"PESPUNTE","masculino","LEON",4,900,23,"Secundaria",2013-08-06,3,1,"PRELIMINAR A-B",2,0,1,0,900,900,0,0,30,0,900,900,"B-PRELIMINAR"
"PRELIMINAR B",11090,20,"AVIO","masculino","LEON",3,850,19,"Secundaria",2016-02-05,2,0,"PRELIMINAR A-B",2,0,1,0,850,850,0,0,15,1,850,850,"B-PRELIMINAR"
"PRELIMINAR B",9196,21,"PREPARADO","femenino","LEON",3,453.32,37,"Ninguno",2013-03-14,4,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,453.32,453.32,"B-PRELIMINAR"
"PRELIMINAR B",9559,5,"PESPUNTE","masculino","LEON",3,1000,22,"Ninguno",2015-06-08,3,0,"PRELIMINAR A-B",2,2,5,3,700,1000,300,721,3,1,1000,700,"B-PRELIMINAR"
"PRELIMINAR B",8762,367,"MONTADO","femenino","LEON",3,900,30,"Secundaria",2012-09-04,3,12,"PRELIMINAR A-B",2,2,4,0,900,900,0,0,30,0,900,900,"B-PRELIMINAR"
"PRELIMINAR B",10229,9,"MONTADO","masculino","LEON",4,950,20,"Secundaria",2014-05-12,2,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,950,950,"B-PRELIMINAR"
"PRELIMINAR B",11329,1,"MONTADO","masculino","LEON",3,950,17,"Primaria",2016-01-20,2,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,950,950,"B-PRELIMINAR"
"PRELIMINAR B",11374,36,"PESPUNTE","masculino","LEON",4,900,16,"Secundaria",2015-11-20,2,1,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"B-PRELIMINAR"
"PRELIMINAR B",9875,21,"PESPUNTE","femenino","LEON",1,453.32,28,"Ninguno",2013-10-02,3,0,"PRELIMINAR A-B",2,0,1,0,453.32,453.32,0,0,-6,0,453.32,453.32,"B-PRELIMINAR"
"PRELIMINAR B",11930,13,"MONTADO","masculino","LEON",3,1000,17,"Secundaria",2016-07-07,2,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,1000,1000,"B-PRELIMINAR"
"PRELIMINAR B",10098,18,"MONTADO","masculino","LEON",4,950,22,"Primaria",2014-02-17,3,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,950,950,"B-PRELIMINAR"
"PRELIMINAR B",9881,23,"MONTADO","femenino","LEON",4,950,22,"Secundaria",2015-03-24,3,0,"PRELIMINAR A-B",2,0,1,0,950,950,0,0,22,0,950,950,"B-PRELIMINAR"
"PRELIMINAR B",8264,13,"PESPUNTE","femenino","LEON",1,850,38,"Secundaria",2012-04-10,4,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,850,850,"B-PRELIMINAR"
"PRELIMINAR B",8818,21,"PESPUNTE","femenino","LEON",2,900,30,"Primaria",2012-09-19,3,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"B-PRELIMINAR"
"PRELIMINAR B",9348,127,"MONTADO","femenino","SILAO",3,900,20,"Secundaria",2013-10-22,2,4,"PRELIMINAR A-B",2,1,4,2,453.32,900,446.68,148,126,0,900,453.32,"B-PRELIMINAR"
