"puesto","NUM","antiguedad","depto.group","sexo","municipio","edo.civil.fit","sueldo","edad.fit","estudios","ingreso","rango.edad","meses.antiguedad","grupo.puesto","nivel.critico","cambios.depto","reingresos","cambios.sueldo","sueldo.min","sueldo.max","aumento","dias.para.aumento","dias.salio.cambio","salio.por.cambio","sueldo.max.fit","sueldo.min.fit","puesto.fit"
"A-PESPUNTADOR",11010,527,"PESPUNTE","masculino","LEON",1,1700,52,"Ninguno",2015-05-21,6,17,"PESPUNTADOR A-B",1,1,2,0,1700,1700,0,0,NA,NA,1700,1700,"A-PESPUNTADOR"
"A-PESPUNTADOR",11137,453,"PESPUNTE","masculino","LEON",4,1800,26,"Primaria",2015-08-03,3,15,"PESPUNTADOR A-B",1,1,3,1,1700,1800,100,217,NA,NA,1800,1700,"A-PESPUNTADOR"
"A-PESPUNTADOR",8260,863,"PESPUNTE","masculino","LEON",1,1700,32,"Secundaria",2014-06-19,4,28,"PESPUNTADOR A-B",1,1,6,3,1500,1800,300,623,-1176,0,1800,1500,"A-PESPUNTADOR"
"A-PESPUNTADOR",9702,403,"PESPUNTE","masculino","SILAO",4,1700,23,"Secundaria",2015-09-22,3,13,"PESPUNTADOR A-B",1,6,10,3,1540,1800,260,952,-229,0,1800,1540,"A-PESPUNTADOR"
"A-PESPUNTADOR",10300,863,"PESPUNTE","masculino","LEON",4,1700,21,"Primaria",2014-06-19,3,28,"PESPUNTADOR A-B",1,3,6,2,1400,1700,300,735,NA,NA,1700,1400,"A-PESPUNTADOR"
"A-PESPUNTADOR",11147,451,"PESPUNTE","masculino","LEON",1,1800,48,"Primaria",2015-08-05,5,15,"PESPUNTADOR A-B",1,1,5,2,1700,2000,300,294,NA,NA,2000,1700,"A-PESPUNTADOR"
"A-PESPUNTADOR",8641,1293,"PESPUNTE","masculino","LEON",1,1700,34,"Secundaria",2013-04-15,4,43,"PESPUNTADOR A-B",1,10,19,3,453.32,1700,1246.68,1141,-980,0,1700,453.32,"A-PESPUNTADOR"
"A-PESPUNTADOR",11863,135,"PESPUNTE","masculino","LEON",1,1700,32,"Primaria",2016-06-16,4,4,"PESPUNTADOR A-B",1,0,1,0,1700,1700,0,0,NA,NA,1700,1700,"A-PESPUNTADOR"
"A-PESPUNTADOR",12101,51,"PESPUNTE","masculino","LEON",1,1800,40,"Ninguno",2016-09-08,4,1,"PESPUNTADOR A-B",1,0,0,0,0,0,0,0,NA,NA,1800,1800,"A-PESPUNTADOR"
"A-PESPUNTADOR",12011,87,"PESPUNTE","masculino","LEON",3,1800,27,"Secundaria",2016-08-03,3,2,"PESPUNTADOR A-B",1,0,0,0,0,0,0,0,NA,NA,1800,1800,"A-PESPUNTADOR"
"A-PESPUNTADOR",10723,655,"PESPUNTE","masculino","LEON",1,1800,34,"Secundaria",2015-01-13,4,21,"PESPUNTADOR A-B",1,2,4,1,1700,1800,100,532,NA,NA,1800,1700,"A-PESPUNTADOR"
"A-PESPUNTADOR",8256,1664,"PESPUNTE","masculino","LEON",1,2000,44,"Primaria",2012-04-09,5,55,"PESPUNTADOR A-B",1,1,6,2,1700,2000,300,1379,NA,NA,2000,1700,"A-PESPUNTADOR"
"A-PESPUNTADOR",10698,684,"PESPUNTE","masculino","LEON",1,1900,34,"Secundaria",2014-12-15,4,22,"PESPUNTADOR A-B",1,2,8,2,1166,1900,734,189,NA,NA,1900,1166,"A-PESPUNTADOR"
"A-PESPUNTADOR",8562,1552,"PESPUNTE","masculino","LEON",3,1650,20,"Secundaria",2012-07-30,2,51,"PESPUNTADOR A-B",1,4,12,5,850,1650,800,1491,NA,NA,1650,850,"A-PESPUNTADOR"
"A-PESPUNTADOR",11827,142,"PESPUNTE","masculino","LEON",1,1700,50,"Primaria",2016-06-09,5,4,"PESPUNTADOR A-B",1,4,6,0,1700,1700,0,0,NA,NA,1700,1700,"A-PESPUNTADOR"
"A-PRELIMINAR",9121,1010,"AVIO","masculino","LEON",3,950,21,"Secundaria",2014-01-23,3,33,"PRELIMINAR A-B",2,0,1,0,950,950,0,0,-61,0,950,950,"A-PRELIMINAR"
"A-PRELIMINAR",12091,52,"AVIO","femenino","LEON",3,900,16,"Secundaria",2016-09-07,2,1,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"A-PRELIMINAR"
"A-PRELIMINAR",10879,561,"MANUALIDADES","masculino","LEON",3,1150,19,"Secundaria",2015-04-17,2,18,"PRELIMINAR A-B",2,0,2,1,1000,1150,150,267,NA,NA,1150,1000,"A-PRELIMINAR"
"A-PRELIMINAR",11662,47,"AVIO","femenino","LEON",3,1000,16,"Secundaria",2016-09-12,2,1,"PRELIMINAR A-B",2,0,2,1,900,1000,100,62,-20,0,1000,900,"A-PRELIMINAR"
"A-PRELIMINAR",11429,136,"PESPUNTE","femenino","LEON",3,1200,22,"Secundaria",2016-06-15,3,4,"PRELIMINAR A-B",2,0,2,1,1100,1200,100,0,-182,0,1200,1100,"A-PRELIMINAR"
"A-PRELIMINAR",11954,102,"PESPUNTE","femenino","LEON",3,1000,21,"Secundaria",2016-07-19,3,3,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,1000,1000,"A-PRELIMINAR"
"A-PRELIMINAR",10730,26,"AVIO","femenino","LEON",3,1000,19,"Secundaria",2016-10-03,2,0,"PRELIMINAR A-B",2,1,2,0,1000,1000,0,0,-35,0,1000,1000,"A-PRELIMINAR"
"A-PRELIMINAR",10327,201,"AVIO","masculino","LEON",4,1100,20,"Secundaria",2016-04-11,2,6,"PRELIMINAR A-B",2,0,2,1,900,1100,200,413,-217,0,1100,900,"A-PRELIMINAR"
"A-PRELIMINAR",8324,1642,"PESPUNTE","femenino","LEON",1,1150,26,"Secundaria",2012-05-01,3,54,"PRELIMINAR A-B",2,3,6,2,900,1150,250,1457,NA,NA,1150,900,"A-PRELIMINAR"
"A-PRELIMINAR",11479,261,"PESPUNTE","masculino","LEON",3,1200,20,"Primaria",2016-01-18,2,8,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,1200,1200,"A-PRELIMINAR"
"A-PRELIMINAR",9523,1242,"PESPUNTE","femenino","LEON",3,1100,20,"Secundaria",2013-06-05,2,41,"PRELIMINAR A-B",2,3,6,1,950,1100,150,349,NA,NA,1100,950,"A-PRELIMINAR"
"A-PRELIMINAR",10898,556,"PESPUNTE","femenino","LEON",1,1050,28,"Secundaria",2015-04-22,3,18,"PRELIMINAR A-B",2,0,2,1,1050,1100,50,182,NA,NA,1100,1050,"A-PRELIMINAR"
"A-PRELIMINAR",12079,30,"AVIO","masculino","LEON",3,900,16,"Secundaria",2016-09-05,2,1,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"A-PRELIMINAR"
"A-PRELIMINAR",11946,113,"PESPUNTE","masculino","LEON",3,1000,16,"Secundaria",2016-07-08,2,3,"PRELIMINAR A-B",2,0,2,1,800,1000,200,7,NA,NA,1000,800,"A-PRELIMINAR"
"A-PRELIMINAR",8423,1600,"PREPARADO","femenino","LEON",3,1100,21,"Secundaria",2012-06-12,3,53,"PRELIMINAR A-B",2,0,4,3,100,1100,1000,1037,NA,NA,1100,100,"A-PRELIMINAR"
"A-PRELIMINAR",9127,1341,"AVIO","femenino","LEON",1,1100,36,"Secundaria",2013-02-26,4,44,"PRELIMINAR A-B",2,1,3,1,1000,1100,100,231,NA,NA,1100,1000,"A-PRELIMINAR"
"A-PRELIMINAR",10974,529,"MANUALIDADES","masculino","LEON",1,1150,19,"Secundaria",2015-05-19,2,17,"PRELIMINAR A-B",2,0,2,1,1000,1150,150,267,NA,NA,1150,1000,"A-PRELIMINAR"
"A-PRELIMINAR",10506,803,"AVIO","femenino","LEON",3,900,20,"Primaria",2014-08-18,2,26,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"A-PRELIMINAR"
"A-PRELIMINAR",12128,22,"MONTADO","femenino","LEON",5,1100,47,"Primaria",2016-10-07,5,0,"PRELIMINAR A-B",2,0,1,0,1100,1100,0,0,NA,NA,1100,1100,"A-PRELIMINAR"
"A-PRELIMINAR",12126,24,"PREPARADO","masculino","LEON",3,1100,18,"Ninguno",2016-10-05,2,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,1100,1100,"A-PRELIMINAR"
"A-PRELIMINAR",11554,256,"PREPARADO","masculino","LEON",3,900,17,"Secundaria",2016-02-16,2,8,"PRELIMINAR A-B",2,0,1,0,900,900,0,0,NA,NA,900,900,"A-PRELIMINAR"
"A-PRELIMINAR",10466,815,"PESPUNTE","femenino","LEON",3,1100,20,"Ninguno",2014-08-06,2,27,"PRELIMINAR A-B",2,0,2,1,1000,1100,100,364,NA,NA,1100,1000,"A-PRELIMINAR"
"A-PRELIMINAR",10249,893,"MONTADO","masculino","LEON",3,1250,20,"Ninguno",2014-05-20,2,29,"PRELIMINAR A-B",2,1,4,2,1000,1250,250,379,NA,NA,1250,1000,"A-PRELIMINAR"
"A-PRELIMINAR",9044,1355,"PESPUNTE","femenino","LEON",1,1100,25,"Primaria",2013-02-12,3,45,"PRELIMINAR A-B",2,8,18,2,900,1100,200,1225,NA,NA,1100,900,"A-PRELIMINAR"
"A-PRELIMINAR",9131,1346,"AVIO","masculino","LEON",3,950,22,"Ninguno",2013-02-21,3,44,"PRELIMINAR A-B",2,0,1,0,950,950,0,0,NA,NA,950,950,"A-PRELIMINAR"
"A-PRELIMINAR",11122,283,"PESPUNTE","femenino","LEON",3,1100,17,"Secundaria",2016-01-20,2,9,"PRELIMINAR A-B",2,0,2,1,950,1100,150,196,-271,0,1100,950,"A-PRELIMINAR"
"A-PRELIMINAR",11032,502,"PESPUNTE","femenino","LEON",3,1000,26,"Secundaria",2015-06-15,3,16,"PRELIMINAR A-B",2,0,2,1,1000,1150,150,41,NA,NA,1150,1000,"A-PRELIMINAR"
"A-PRELIMINAR",11817,79,"PREPARADO","femenino","LEON",3,1000,16,"Primaria",2016-08-11,2,2,"PRELIMINAR A-B",2,0,1,0,1000,1000,0,0,-21,0,1000,1000,"A-PRELIMINAR"
"A-PRELIMINAR",10178,956,"PESPUNTE","femenino","LEON",1,950,33,"Primaria",2014-03-18,4,31,"PRELIMINAR A-B",2,3,5,0,950,950,0,0,NA,NA,950,950,"A-PRELIMINAR"
"A-PRELIMINAR",11644,74,"AVIO","femenino","LEON",3,1000,39,"Primaria",2016-08-16,4,2,"PRELIMINAR A-B",2,0,1,0,1000,1000,0,0,-21,0,1000,1000,"A-PRELIMINAR"
"A-PRELIMINAR",11717,25,"AVIO","masculino","LEON",3,900,18,"Primaria",2016-10-04,2,0,"PRELIMINAR A-B",2,0,1,0,900,900,0,0,-127,0,900,900,"A-PRELIMINAR"
"A-PRELIMINAR",12113,38,"AVIO","femenino","LEON",3,1000,17,"Preparatoria",2016-09-21,2,1,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,1000,1000,"A-PRELIMINAR"
"A-PRELIMINAR",11052,495,"AVIO","femenino","SILAO",3,1050,19,"Secundaria",2015-06-22,2,16,"PRELIMINAR A-B",2,2,6,1,950,1050,100,189,NA,NA,1050,950,"A-PRELIMINAR"
"A-PRELIMINAR",11974,70,"PESPUNTE","masculino","LEON",3,1050,18,"Secundaria",2016-07-20,2,2,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,1050,1050,"A-PRELIMINAR"
"A-PRELIMINAR",12026,62,"PESPUNTE","femenino","LEON",3,1050,18,"Secundaria",2016-08-11,2,2,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,1050,1050,"A-PRELIMINAR"
"A-PRELIMINAR",11203,424,"PREPARADO","femenino","SILAO",3,1050,19,"Primaria",2015-09-01,2,14,"PRELIMINAR A-B",2,0,3,2,900,1050,150,126,NA,NA,1050,900,"A-PRELIMINAR"
"A-PRELIMINAR",12035,74,"MANUALIDADES","masculino","LEON",3,900,16,"Ninguno",2016-08-16,2,2,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"A-PRELIMINAR"
"A-PRELIMINAR",11443,296,"PREPARADO","femenino","LEON",3,1100,17,"Preparatoria",2016-01-07,2,9,"PRELIMINAR A-B",2,1,3,1,1000,1100,100,168,NA,NA,1100,1000,"A-PRELIMINAR"
"A-PRELIMINAR",8061,1738,"PESPUNTE","masculino","LEON",1,1600,36,"Secundaria",2012-01-26,4,57,"PRELIMINAR A-B",2,7,13,2,1450,1600,150,1386,NA,NA,1600,1450,"A-PRELIMINAR"
"A-PRELIMINAR",12125,26,"MONTADO","femenino","LEON",3,950,33,"Secundaria",2016-10-03,4,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,950,950,"A-PRELIMINAR"
"A-PRELIMINAR",9169,1331,"MANUALIDADES","femenino","LEON",3,1000,28,"Secundaria",2013-03-08,3,44,"PRELIMINAR A-B",2,0,3,2,471.03,1000,528.97,763,NA,NA,1000,471.03,"A-PRELIMINAR"
"A-PRELIMINAR",11569,243,"PREPARADO","masculino","LEON",3,1000,18,"Secundaria",2016-02-29,2,8,"PRELIMINAR A-B",2,1,3,1,900,1000,100,119,NA,NA,1000,900,"A-PRELIMINAR"
"A-PRELIMINAR",9950,1102,"PESPUNTE","femenino","LEON",1,1150,48,"Primaria",2013-10-23,5,36,"PRELIMINAR A-B",2,0,3,2,950,1150,200,659,NA,NA,1150,950,"A-PRELIMINAR"
"ACENTADOR",11753,113,"AVIO","femenino","LEON",3,900,16,"Secundaria",2016-05-24,2,3,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"ACENTADOR"
"ACENTADOR",11708,22,"AVIO","masculino","LEON",3,850,16,"Ninguno",2016-05-17,2,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,850,850,"ACENTADOR"
"ACENTADOR",11972,15,"MONTADO","masculino","LEON",4,950,18,"Secundaria",2016-07-26,2,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,950,950,"ACENTADOR"
"ACENTADOR",11621,153,"AVIO","masculino","LEON",3,850,19,"Secundaria",2016-04-14,2,5,"PRELIMINAR A-B",2,0,1,0,850,850,0,0,146,0,850,850,"ACENTADOR"
"ACENTADOR",11558,0,"AVIO","masculino","LEON",3,850,17,"Secundaria",2016-02-22,2,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,850,850,"ACENTADOR"
"ADORNADORA",9623,209,"MONTADO","femenino","LEON",3,950,19,"Secundaria",2013-06-20,2,6,"PRELIMINAR A-B",2,0,2,1,850,950,100,14,161,0,950,850,"ADORNADORA"
"ADORNADORA",9613,70,"MONTADO","femenino","LEON",3,900,28,"Secundaria",2013-06-19,3,2,"PRELIMINAR A-B",2,0,1,0,900,900,0,0,21,0,900,900,"ADORNADORA"
"ADORNADORA",11810,100,"MONTADO","femenino","LEON",3,1100,22,"Primaria",2016-06-06,3,3,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,1100,1100,"ADORNADORA"
"ADORNADORA",8181,314,"MONTADO","femenino","LEON",1,800,42,"Ninguno",2012-03-01,5,10,"PRELIMINAR A-B",2,0,1,0,800,800,0,0,230,0,800,800,"ADORNADORA"
"ADORNADORA",10125,7,"MONTADO","femenino","LEON",1,900,27,"Primaria",2014-02-19,3,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"ADORNADORA"
"ADORNADORA",9688,9,"MONTADO","femenino","LEON",3,900,37,"Ninguno",2013-07-15,4,0,"PRELIMINAR A-B",2,0,1,0,900,900,0,0,0,0,900,900,"ADORNADORA"
"ADORNADORA",8138,370,"MONTADO","masculino","SILAO",3,850,26,"Primaria",2012-02-16,3,12,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,850,850,"ADORNADORA"
"ADORNADORA",8023,34,"MONTADO","femenino","SILAO",3,800,22,"Secundaria",2012-01-10,3,1,"PRELIMINAR A-B",2,0,1,0,800,800,0,0,26,0,800,800,"ADORNADORA"
"ADORNADORA",10632,14,"MONTADO","femenino","LEON",3,950,42,"Primaria",2014-10-22,5,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,950,950,"ADORNADORA"
"ADORNADORA",9773,16,"MONTADO","femenino","LEON",3,1000,30,"Primaria",2013-09-03,3,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,1000,1000,"ADORNADORA"
"ADORNADORA",8546,173,"MONTADO","femenino","LEON",3,1200,30,"Primaria",2016-05-09,3,5,"PRELIMINAR A-B",2,0,2,1,1050,1200,150,791,-390,0,1200,1050,"ADORNADORA"
"ADORNADORA",10124,202,"MONTADO","femenino","LEON",3,950,18,"Secundaria",2014-02-20,2,6,"PRELIMINAR A-B",2,1,3,1,900,950,50,43,13,1,950,900,"ADORNADORA"
"ADORNADORA",8767,16,"MONTADO","femenino","LEON",1,950,42,"Ninguno",2012-08-29,5,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,950,950,"ADORNADORA"
"ADORNADORA",9501,13,"MONTADO","femenino","LEON",5,950,31,"Primaria",2013-06-03,4,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,950,950,"ADORNADORA"
"ADORNADORA",11418,33,"MONTADO","femenino","LEON",3,950,29,"Secundaria",2015-12-11,3,1,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,950,950,"ADORNADORA"
"ADORNADORA",8486,406,"MONTADO","femenino","LEON",1,900,40,"Primaria",2012-07-06,4,13,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"ADORNADORA"
"ADORNADORA",11616,118,"MONTADO","femenino","LEON",3,1200,34,"Primaria",2016-04-19,4,3,"PRELIMINAR A-B",2,1,3,0,1200,1200,0,0,82,0,1200,1200,"ADORNADORA"
"ADORNADORA",9541,2,"MONTADO","femenino","LEON",3,900,28,"Secundaria",2013-06-05,3,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"ADORNADORA"
"ADORNADORA",8553,22,"PREPARADO","femenino","LEON",2,850,41,"Ninguno",2012-07-19,5,0,"PRELIMINAR A-B",2,1,2,0,850,850,0,0,-5,0,850,850,"ADORNADORA"
"ADORNADORA",9286,26,"MONTADO","femenino","LEON",3,850,20,"Secundaria",2013-04-12,2,0,"PRELIMINAR A-B",2,0,1,0,850,850,0,0,-1,0,850,850,"ADORNADORA"
"ADORNADORA",8761,88,"MONTADO","femenino","LEON",3,900,20,"Secundaria",2013-04-01,2,2,"PRELIMINAR A-B",2,0,1,0,900,900,0,0,86,0,900,900,"ADORNADORA"
"ADORNADORA",9279,27,"MONTADO","femenino","LEON",1,900,39,"Primaria",2013-04-11,4,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"ADORNADORA"
"ADORNADORA",9863,6,"MONTADO","femenino","LEON",1,900,37,"Secundaria",2013-09-26,4,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"ADORNADORA"
"ADORNADORA",11654,7,"MONTADO","femenino","LEON",2,1050,44,"Primaria",2016-05-02,5,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,1050,1050,"ADORNADORA"
"ADORNADORA",9419,9,"MONTADO","femenino","LEON",1,850,40,"Primaria",2013-05-20,4,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,850,850,"ADORNADORA"
"ADORNADORA",10523,303,"MONTADO","femenino","LEON",3,1000,27,"Primaria",2014-08-20,3,10,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,1000,1000,"ADORNADORA"
"ADORNADORA",8956,57,"MONTADO","femenino","LEON",1,900,45,"Secundaria",2013-01-15,5,1,"PRELIMINAR A-B",2,0,1,0,900,900,0,0,55,0,900,900,"ADORNADORA"
"ADORNADORA",11909,21,"MONTADO","femenino","LEON",1,950,33,"Primaria",2016-06-29,4,0,"PRELIMINAR A-B",2,0,1,0,950,950,0,0,7,1,950,950,"ADORNADORA"
"ADORNADORA",9353,46,"MONTADO","femenino","SILAO",3,900,20,"Secundaria",2013-05-13,2,1,"PRELIMINAR A-B",2,0,1,0,900,900,0,0,43,0,900,900,"ADORNADORA"
"ADORNADORA",10407,109,"MONTADO","femenino","LEON",5,1000,24,"Secundaria",2014-07-21,3,3,"PRELIMINAR A-B",2,0,1,0,1000,1000,0,0,106,0,1000,1000,"ADORNADORA"
"ADORNADORA",9422,107,"MONTADO","femenino","LEON",1,900,33,"Primaria",2013-05-20,4,3,"PRELIMINAR A-B",2,1,2,0,900,900,0,0,28,0,900,900,"ADORNADORA"
"ADORNADORA",8484,0,"MONTADO","femenino","LEON",2,850,46,"Primaria",2012-07-10,5,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,850,850,"ADORNADORA"
"ADORNADORA",9293,105,"MONTADO","femenino","LEON",3,900,27,"Primaria",2013-04-10,3,3,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"ADORNADORA"
"ADORNADORA",9679,283,"MONTADO","femenino","LEON",3,950,23,"Secundaria",2013-07-16,3,9,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,950,950,"ADORNADORA"
"ADORNADORA",8619,16,"MONTADO","femenino","LEON",3,900,23,"Secundaria",2013-03-19,3,0,"PRELIMINAR A-B",2,0,1,0,900,900,0,0,15,1,900,900,"ADORNADORA"
"ADORNADORA",12067,54,"MONTADO","femenino","LEON",1,1000,35,"Primaria",2016-09-05,4,1,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,1000,1000,"ADORNADORA"
"ADORNADORA",9294,14,"MONTADO","femenino","LEON",1,900,57,"Secundaria",2013-04-10,6,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"ADORNADORA"
"AFINADOR",11587,9,"AVIO","masculino","LEON",1,1000,51,"Secundaria",2016-04-05,6,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,1000,1000,"AFINADOR"
"AFINADOR",10406,8,"AVIO","masculino","LEON",3,1000,42,"Primaria",2014-07-22,5,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,1000,1000,"AFINADOR"
"AFINADOR",11919,8,"AVIO","masculino","LEON",3,1200,44,"Ninguno",2016-06-30,5,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,1200,1200,"AFINADOR"
"AFINADOR",10076,4,"AVIO","masculino","LEON",1,1200,34,"Primaria",2014-02-10,4,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,1200,1200,"AFINADOR"
"ALIMENTAR BANDA",8657,260,"MONTADO","masculino","LEON",3,900,20,"Secundaria",2012-10-09,2,8,"PRELIMINAR A-B",2,0,1,0,900,900,0,0,280,0,900,900,"ALIMENTAR BANDA"
"ALIMENTAR BANDA",8549,1559,"MONTADO","masculino","LEON",3,1300,50,"Primaria",2012-07-23,5,51,"PRELIMINAR A-B",2,1,4,1,1100,1300,200,546,NA,NA,1300,1100,"ALIMENTAR BANDA"
"ALIMENTAR BANDA",10755,315,"MONTADO","masculino","SILAO",3,1000,27,"Ninguno",2015-02-12,3,10,"PRELIMINAR A-B",2,0,2,1,900,1000,100,85,42,0,1000,900,"ALIMENTAR BANDA"
"ALIMENTAR BANDA",10680,710,"MONTADO","femenino","LEON",3,1050,21,"Secundaria",2014-11-19,3,23,"PRELIMINAR A-B",2,0,2,1,900,1050,150,335,NA,NA,1050,900,"ALIMENTAR BANDA"
"ALIMENTAR BANDA",8875,2,"MONTADO","masculino","LEON",4,1000,28,"Primaria",2012-10-13,3,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,1000,1000,"ALIMENTAR BANDA"
"ALIMENTAR BANDA",8054,11,"MONTADO","masculino","LEON",4,800,22,"Secundaria",2012-01-19,3,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,800,800,"ALIMENTAR BANDA"
"ALIMENTAR BANDA",11911,6,"MONTADO","masculino","LEON",3,900,16,"Secundaria",2016-06-30,2,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"ALIMENTAR BANDA"
"ALIMENTAR BANDA",11504,103,"MONTADO","masculino","LEON",3,1050,17,"Primaria",2016-07-18,2,3,"PRELIMINAR A-B",2,0,1,0,1050,1050,0,0,-28,0,1050,1050,"ALIMENTAR BANDA"
"ALIMENTAR BANDA",10810,105,"MONTADO","masculino","LEON",3,1000,18,"Secundaria",2015-11-19,2,3,"PRELIMINAR A-B",2,0,1,0,1000,1000,0,0,99,0,1000,1000,"ALIMENTAR BANDA"
"ALIMENTAR BANDA",8041,3,"MONTADO","masculino","LEON",3,800,21,"Secundaria",2012-01-17,3,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,800,800,"ALIMENTAR BANDA"
"ALIMENTAR BANDA",8464,1580,"MONTADO","femenino","LEON",3,1150,22,"Preparatoria",2012-07-02,3,52,"PRELIMINAR A-B",2,0,3,2,950,1150,200,715,NA,NA,1150,950,"ALIMENTAR BANDA"
"APLICAR CREMA",8724,1398,"MONTADO","femenino","SILAO",3,1050,22,"Preparatoria",2012-08-24,3,46,"PRELIMINAR C",5,0,2,1,950,1050,100,308,812,0,1050,950,"APLICAR CREMA"
"APLICAR SPRAY",11990,14,"MONTADO","femenino","LEON",3,1000,42,"Secundaria",2016-07-27,5,0,"PRELIMINAR C",5,0,0,0,0,0,0,0,NA,NA,1000,1000,"APLICAR SPRAY"
"APLICAR SPRAY",9209,1254,"MONTADO","femenino","LEON",3,1100,26,"Secundaria",2013-03-19,3,41,"PRELIMINAR C",5,0,4,3,900,1200,300,414,6,1,1200,900,"APLICAR SPRAY"
"APLICAR SPRAY",10718,113,"MONTADO","femenino","LEON",1,950,25,"Secundaria",2016-01-20,3,3,"PRELIMINAR C",5,2,3,0,950,950,0,0,1,1,950,950,"APLICAR SPRAY"
"APLICAR SPRAY",9033,1182,"MONTADO","femenino","LEON",3,1100,35,"Secundaria",2013-02-01,4,39,"PRELIMINAR C",5,0,3,2,950,1100,150,693,85,0,1100,950,"APLICAR SPRAY"
"APLICAR SPRAY",8884,1200,"MONTADO","femenino","LEON",3,1000,20,"Secundaria",2013-01-14,2,40,"PRELIMINAR C",5,1,3,1,850,1000,150,827,371,0,1000,850,"APLICAR SPRAY"
"APLICAR SPRAY",11550,9,"MONTADO","femenino","LEON",3,1000,27,"Primaria",2016-02-16,3,0,"PRELIMINAR C",5,0,0,0,0,0,0,0,NA,NA,1000,1000,"APLICAR SPRAY"
"APLICAR SPRAY",11813,144,"MONTADO","femenino","LEON",3,1100,21,"Secundaria",2016-06-07,3,4,"PRELIMINAR C",5,0,2,1,1100,1150,50,41,NA,NA,1150,1100,"APLICAR SPRAY"
"APLICAR SPRAY",11859,8,"MONTADO","masculino","LEON",3,1000,24,"Secundaria",2016-06-21,3,0,"PRELIMINAR C",5,0,0,0,0,0,0,0,NA,NA,1000,1000,"APLICAR SPRAY"
"APOMAZADOR",10747,151,"AVIO","masculino","LEON",1,1200,45,"Ninguno",2015-01-16,5,5,"CRITICO",0,0,0,0,0,0,0,0,NA,NA,1200,1200,"APOMAZADOR"
"APOMAZADOR",10172,441,"AVIO","masculino","LEON",4,1150,19,"Primaria",2015-03-04,2,14,"CRITICO",0,0,3,2,950,1150,200,323,111,0,1150,950,"APOMAZADOR"
"APOMAZADOR",8520,36,"AVIO","masculino","LEON",1,1300,39,"Ninguno",2012-07-11,4,1,"CRITICO",0,0,0,0,0,0,0,0,NA,NA,1300,1300,"APOMAZADOR"
