"NUM","antiguedad","depto.group","sexo","municipio","edo.civil.fit","sueldo","puesto","edad.fit","estudios","ingreso","rango.edad","meses.antiguedad","grupo.puesto","nivel.critico","cambios.depto","reingresos","cambios.sueldo","sueldo.min","sueldo.max","aumento","dias.para.aumento"
8113,6,"PREPARADO","masculino","LEON",3,1000,"PESPUNTADOR B",22,"Secundaria",2012-09-20,3,0,"PESPUNTADOR A-B",1,2,3,1,850,1000,150,77
8119,10,"MONTADO","masculino","LEON",3,900,"PRELIMINAR B",37,"Ninguno",2012-10-16,4,0,"PRELIMINAR A-B",2,0,1,0,900,900,0,0
8121,82,"AVIO","masculino","LEON",4,900,"PRELIMINAR A",23,"Secundaria",2012-02-09,3,2,"PRELIMINAR A-B",2,0,1,0,900,900,0,0
8122,794,"AVIO","femenino","LEON",3,850,"ARMAR LOTES",21,"Secundaria",2012-02-13,3,26,"PRELIMINAR A-B",2,0,2,1,750,850,100,50
8123,53,"AVIO","femenino","LEON",3,850,"PRELIMINAR B",27,"Secundaria",2013-04-15,3,1,"PRELIMINAR A-B",2,1,3,2,750,850,100,393
8133,54,"PREPARADO","masculino","LEON",1,1500,"PESPUNTADOR B",47,"Primaria",2012-10-19,5,1,"PESPUNTADOR A-B",1,1,2,1,1300,1500,200,98
8135,541,"PESPUNTE","femenino","SILAO",3,910,"PRELIMINAR B",23,"Secundaria",2012-02-20,3,18,"PRELIMINAR A-B",2,1,4,2,453.32,910,456.68,197
8139,127,"MONTADO","femenino","LEON",3,1166,"ARREGLAR ZAPATO",20,"Secundaria",2016-09-07,2,4,"PRELIMINAR A-B",2,4,8,4,850,1166,316,1547
8141,68,"AVIO","masculino","LEON",3,900,"PRELIMINAR B",24,"Secundaria",2012-02-15,3,2,"PRELIMINAR A-B",2,0,1,0,900,900,0,0
8142,44,"AVIO","masculino","LEON",3,850,"PRELIMINAR B",22,"Primaria",2012-02-15,3,1,"PRELIMINAR A-B",2,0,1,0,850,850,0,0
8143,721,"AVIO","masculino","LEON",3,800,"PRELIMINAR B",23,"Secundaria",2012-02-15,3,24,"PRELIMINAR A-B",2,1,2,0,800,800,0,0
